################################################################################
#  Typename                PDGID           Name              TeX-Name
################################################################################
0  Unidentified            0               uid               uid
91 Pythia-String           91              py-string1        string1
92 Pythia-String           92              py-string2        string2
12 Light_I=0_Meson         100331          eta(1475)         \eta(1475)
12 Light_I=0_Meson         9030221         f0(1500)          f_{0}(1500)
12 Light_I=0_Meson         10331           f0(1710)          f_{0}(1710)
12 Light_I=0_Meson         9040221         eta(1760)         \eta(1760)
12 Light_I=0_Meson         9050221         f0(2020)          f_{0}(2020)
12 Light_I=0_Meson         9060221         fo(2100)          f_{0}(2100)
12 Light_I=0_Meson         9070221         f0(2200)          f_{0}(2200)
12 Light_I=0_Meson         9080221         eta(2225)         \eta(2225)
12 Light_I=0_Meson         223             omega(782)        \omega(782)
12 Light_I=0_Meson         333             phi(1020)         \phi(1020)
12 Light_I=0_Meson         10223           h1(1170)          h_{1}(1170)
12 Light_I=0_Meson         20223           f1(1285)          f_{1}(1285)
12 Light_I=0_Meson         10333           h1(1380)          h_{1}(1380)
12 Light_I=0_Meson         20333           f1(1420)          f_{1}(1420)
12 Light_I=0_Meson         100223          omega(1420)       \omega(1420)
12 Light_I=0_Meson         9000223         f1(1510)          f_{1}(1510)
12 Light_I=0_Meson         9010223         h1(1595)          h_{1}(1595)
12 Light_I=0_Meson         30223           omega(1650)       \omega(1650)
12 Light_I=0_Meson         100333          phi(1680)         \phi(1680)
12 Light_I=0_Meson         225             f2(1270)          f_{2}(1270)
12 Light_I=0_Meson         9000225         f2(1430)          f_{2}(1430)
12 Light_I=0_Meson         335             f2'(1525)         f_{2}'(1525)
12 Light_I=0_Meson         9010225         f2(1565)          f_{2}(1565)
12 Light_I=0_Meson         9020225         f2(1640)          f_{2}(1640)
12 Light_I=0_Meson         10225           eta2(1645)        \eta_{2}(1645)
12 Light_I=0_Meson         9030225         f2(1810)          f_{2}(1810)
12 Light_I=0_Meson         10335           eta2(1870)        \eta_{2}(1870)
12 Light_I=0_Meson         9040225         f2(1910)          f_{2}(1910)
12 Light_I=0_Meson         9050225         f2(1950)          f_{2}(1950)
12 Light_I=0_Meson         9060225         f2(2010)          f_{2}(2010)
12 Light_I=0_Meson         9070225         f2(2150)          f_{2}(2150)
12 Light_I=0_Meson         9080225         f2(2300)          f_{2}(2300)
12 Light_I=0_Meson         9090225         f2(2340)          f_{2}(2340)
12 Light_I=0_Meson         227             omega3(1670)      \omega_{3}(1670)
12 Light_I=0_Meson         337             phi3(1850)        \phi_{3}(1850)
12 Light_I=0_Meson         229             f4(2050)          f_{4}(2050)
